,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
329,» Le choc est terrible.La détonation secoue littéralement,le quartier,encore endormi.,type lieu,urbanisme,neutre,pris en charge,événement,négatif,présent,pris en charge,,
331,"» Au lendemain de la décision du tribunal administratif de Cergy, Emin Iskenderov ne mâche pas ses mots.Le président du groupe Hermitage, qui attend depuis 2008 les deux constructions de 320 m dédiées au luxe et au business",dans le quartier d'affaires de la défense (Hauts-de-Seine,"), voit dans cette décision « une nouvelle étape très importante pour la réalisation de son projet qui rentre dans la dernière phase préalable à la construction ».",type lieu/référence géographique,économie/localisation,neutre,pris en charge,urbanisme,neutre,futur,cité,,
332,Art,La Défense,dévoile,norme,NA,NA,NA,NA,NA,NA,NA,phrase incomplète,
334,"La Défense Art Collection, le pouce (qui se dresse sur la place Carpeaux) a été poli et son ongle verni pour redonner à l'oeuvre son éclat originel.Defacto, l'établissement public de gestion, de promotion et d'animation",du quartier d'affaires de la défense,", souhaite valoriser son patrimoine unique et faire du quartier d'affaires une véritable destination culturelle du Grand Paris.",type lieu,économie,neutre,pris en charge,tourisme,positif,futur,pris en charge,"""destination culturelle"" = tourisme ??",
335,"La Défense Art Collection, le pouce (qui se dresse sur la place Carpeaux) a été poli et son ongle verni pour redonner à l'oeuvre son éclat originel.Defacto, l'établissement public de gestion, de promotion et d'animation du quartier d'affaires de la défense, souhaite valoriser son patrimoine unique et faire",du quartier d'affaires,une véritable destination culturelle du Grand Paris.,type lieu,économie,neutre,pris en charge,tourisme,positif,futur,pris en charge,,
336,"» Dans le passé, le Capverdien a plusieurs fois repoussé des offres de clubs de province (Luzenac, Le Poiré...) ou de l'étranger pour privilégier ses études à Paris.Basé",dans le quartier d'affaires de la défense,", il jongle avec les réunions pour arriver à l'heure aux entraînements où son costume-cravate ne passe pas inaperçu.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,l'artiste,
338,"Le président de KPMG France, Jay Nirsimloo, confie les raisons pour lesquelles il a préféré la tour Eqhoet",le quartier d'affaires de la défense,à d'autres sites franciliens.,type lieu,économie,neutre,pris en charge,immobilier,positif,présent,cité,il confie les raisons,
339,"Le président de KPMG France, Jay Nirsimloo, confie les raisons pour lesquelles il a préféré la tour Eqhoet le quartier d'affaires de la défense à d'autres sites franciliens.KPMG était déjà installé",dans le quartier d'affaires,", qu'est-ce qui vous y a retenu ?",type lieu,économie,neutre,pris en charge,immobilier,neutre,présent,pris en charge,une question...,
340,"Nous étions installés dans deux bâtiments séparés (le Belvédère, quartier Valmy, et le Palatin).On a visité des bureaux à Paris, autour",de La Défense,", et jusqu'à Saint-Denis (Seine-Saint-Denis).",norme,NA,NA,NA,NA,NA,NA,NA,visite des sites,
341,"On a visité des bureaux à Paris, autour de La Défense, et jusqu'à Saint-Denis (Seine-Saint-Denis).Mais",La Défense,", c'est le business center, la facilité d'accès, et la sécurité.",norme,NA,NA,NA,urbanisme,positif,présent,cité,,
342,"On a visité des bureaux à Paris, autour de La Défense, et jusqu'à Saint-Denis (Seine-Saint-Denis).Mais La Défense, c'est",le business center,", la facilité d'accès, et la sécurité.",type lieu,économie,neutre,pris en charge,urbanisme,positif,présent,cité,,
344,A quoi va ressembler,la nouvelle Défense,?,type lieu,changement,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
345,L'année 2019 sera celle,de la Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,manque d'info,
349,"Un autre projet relance le dilemme, en tout cas des questions, sur la bataille tours-campus.Arboretum est (presque) passé sous les fourches Caudines des agréments et repart à l'assaut du marché, il lui manque encore son permis de construire...                Paris vient ",à La Défense,,norme,NA,NA,NA,NA,NA,NA,NA,,
350,"Le projet propose presque de travailler à la campagne, à quelques encablures de métro, mais pas à son pied...Il illustre bien la notion de territoire élargi",du futur quartier d'affaires,.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
351,Il illustre bien la notion de territoire élargi du futur quartier d'affaires.«,la défense,", historiquement très enfermée sur sa dalle, devient un ensemble de territoires qui vont au-delà du boulevard circulaire  », indique Eric Siesse.",norme,NA,NA,NA,urbanisme,positif,présent,cité,,
353,"«la défense, historiquement très enfermée sur sa dalle, devient un ensemble de territoires qui vont au-delà du boulevard circulaire  », indique Eric Siesse.",La Défense nouvelle génération, pousse les murs et s'ouvre au monde.		,type lieu,changement,neutre,pris en charge,urbanisme,positif,présent,cité,,
354,"Car de l'espace, il va en falloir pour accueillir les entreprises, petites et grandes, qui, face aux 3 % de surfaces vides enregistrées dans le centre de Paris, se remettent à regarder vers l'ouest.Quand, faute de place, Paris propose des surfaces éclatées sur plusieurs bâtiments,",la Défense,dispose encore (mais jusqu'à quand ?) de terrains pour attirer les grands groupes.,norme,NA,NA,NA,urbanisme,positif,présent,pris en charge,,
355,"«  Les futurs grands projets vont permettre d'accueillir les nouvelles entreprises, et, pour celles déjà présentes, de s'installer plus confortablement  », assure Yannis de Francesco, directeur de l'agence Grands Projets chez JLL France.Signe d'attractivité",de la Défense,,norme,NA,NA,NA,économie,positif,présent,pris en charge,"assez d'info pour annoter, mais phrase incomplète",
358,"NextDoor, à Coeur Défense, Spaces (Régus) au Belvédère, vont faire entrer des profils de salariés qui, jusqu'alors, n'avaient pas droit de cité sur  la dalle , ni forcément envie d'aller y travailler.De quoi changer l'image",du quartier,"qui se pique depuis plusieurs années de développer des restaurants, des bars, des lieux de vie nocturnes et culturels.",type lieu,urbanisme,neutre,pris en charge,quotidien,positif,présent,pris en charge,,
359,"-, la N118, l'A6, l'A86, ou le périphérique.En revanche, le maillage routier",du quartier d'affaires de la Défense,", un temps pressenti, n'y est plus.",type lieu,économie,neutre,pris en charge,urbanisme,neutre,présent,pris en charge,,
360,Le raisonnement est aussi vrai pour les grands investisseurs institutionnels mondiaux que pour les ménages.                Attrait ,pour la Défense,C'est dans ce contexte de course à la sécurité des liquidités mondiales,norme,NA,NA,NA,économie,positif,présent,pris en charge,,
362,"Attrait pour la Défense C'est dans ce contexte de course à la sécurité des liquidités mondialesqu'a été finalisée vendredi la vente par le fonds Beacon Capital de la tour First (80.000 m2), la plus haute de France,",dans le quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,immobilier,positif,présent,pris en charge,,
363,"- Real Assets pour le compte d'un club d'investisseurs ciblant les actifs européens.  La transaction montre que la France n'a pas perdu de son attrait,",ni la Défense,", malgré le taux de vacance très élevé dont elle souffre depuis des années (quasiment 11 % des surfaces, calcule le conseil immobilier JLL).",norme,NA,NA,NA,immobilier,positif,présent,pris en charge,,
366,"« Cela montre que les investisseurs ont confiance dans la possibilité de trouver un locataire rapidement car le prix payé - 10.000 euros le mètre carré - est celui du prix du marché pour ce type d'actif premium quand il est 100 % loué »  , juge un investisseur.Cette transaction au prix du marché est une bonne nouvelle pour Dexia, qui va mettre en vente début février sa tour",à la Défense,", acquise 300 millions d'euros en 2005.		",norme,NA,NA,NA,immobilier,positif,présent,pris en charge,,
367,"Dans les jours qui viennent, 4.000 investisseurs vont recevoir une lettre leur permettant de mettre à jour leurs connaissances sur la région parisienne ou d'en découvrir l'importance.La présidente de la région y rappelle quelques données faisant de l'Ile-de-France, outre sa qualité de vie, une « ville-monde » : 12 millions d'habitants, 32 millions de touristes, un bassin européen de 200 millions de consommateurs, des liaisons aériennes et maritimes avec le monde,",le quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,IDF,
368,200 millions d'euros dans ce projet aux cotés de la Caisse des Dépôts (10 %).,Le quartier d'affaires de la Défense,aura dans quelques mois son espace de travail collaboratif.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
369,.Le quartier d'affaires de la Défense aura dans quelques mois son espace de travail collaboratif.Le programme Oxygen émergera entre,les 70 tours et les sièges sociaux,.,type lieu,architecture/économie,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
370,"Le programme Oxygen émergera entre les 70 tours et les sièges sociaux.A la place des vignes, à l'entrée",du quartier,", à deux pas de la nouvelle tour First, un espace de 1.500 m2 sur deux étages ouvrira ses portes au printemps 2017.",type lieu,urbanisme,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
373,"Mais il revendique une stricte neutralité, pour pouvoir  "" dialoguer avec l'ensemble de l'échiquier politique "".Sur son bureau parisien, dans un petit immeuble un peu décati ",du quartier d'affaires de la Défense,", trône un rabot de me-nuisier.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,quoi quoi,
374,"Dans un courrier daté du 10 octobre 2016, que se sont procuré «Les Echos », le Premier ministre (PS) Manuel Valls, assure Patrick Devedjian, président (LR) des Hauts-de-Seine, de son soutien dans sa candidature pour accueillir l'institution financière",dans le quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,économie,positif,futur,pris en charge,,
375,"Dans ce contexte, la venue de l'ABE serait une belle prise.Paris","-La Défense, dans les Hauts-de-Seine",", est en pole position.",référence géographique,localisation,neutre,pris en charge,urbanisme,positif,présent,pris en charge,,
376,»)- pour promouvoir la destination,du premier quartier d'affaires européen,.,classement/type lieu/référence géographique,économie/localisation,positif,pris en charge,économie,neutre,présent,pris en charge,,
377,"Sur les 500 entreprises implantées, 40 % sont étrangères.  Nouvel établissement public Réussir à attirer l'ABE sur ses terres serait aussi un succès pour Patrick Devedjian, alors qu'il s'apprête à prendre les commandes de Paris",-La Défense,.,norme,NA,NA,NA,administration,positif,futur,pris en charge,installation d'un organisme public ?,
378,"KFC accélère son expansion en France.La chaîne américaine de restauration rapide spécialiste du poulet frit a inauguré lundi son 200e établissement dans l'Hexagone,",dans le quartier d'affaires de la Défense,", dans l'Ouest parisien.",type lieu,économie,neutre,pris en charge,économie,neutre,présent,pris en charge,,
381,"Et l'Etat n'y est pour rien puisque c'est la ville qui ne fait pas, depuis des années, l'effort de produire une nouvelle offre ailleurs »,  s'inquiète Denis Laurent, conseiller municipal d'opposition (EELV).                De la même manière, l'office public de Courbevoie (Hauts-de-Seine), ville située dans le périmètre ",du quartier d'affaires de la défense,", n'a, entre 2009 et 2011, relogé que 33 familles prioritaires, dont 9 DALO, alors qu'il s'était engagé, toujours par convention avec l'Etat, à en reloger 121.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,Courbevoie,
382,Du côté des «vrais» habitants  Fini le minéral pur et dur des débuts,de La Défense,.,norme,NA,NA,NA,urbanisme,positif,présent,pris en charge,,
383,C'est facile de se faire une mauvaise opinion,du quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,quotidien,négatif,présent,pris en charge,,
384,"C'est facile de se faire une mauvaise opinion du quartier d'affaires de la défense.Il suffit d'être à 8 h 50 dans la salle d'échanges du RER, puis dans les couloirs souterrains qui mènent",aux tours,et d'accompagner le flux serré des salariés qui seront à 9 heures tapantes devant leur écran.,type lieu,architecture,neutre,pris en charge,quotidien,négatif,présent,pris en charge,,
387,"Si l'on ajoute l'image de toute-puissance du capitalisme que porte cette collection de tours triomphales, la visite peut être assez déprimante.  Mais voilà : il se trouve que sur l'esplanade",de La Défense,", la promenade est agréable.",norme,NA,NA,NA,quotidien,positif,présent,pris en charge,,
388,"Mais voilà : il se trouve que sur l'esplanadede La Défense, la promenade est agréable.Cela tient-il au silence qui règne sur",cet espace géant,où l'on n'entend pas un moteur ?,type lieu,taille,neutre,pris en charge,quotidien,positif,présent,pris en charge,question,
389,A l'étrangeté du paysage que l'on découvre au-dessus de sa tête en tordant le cou ?Ou à la perspective sur le Grand Paris qu'offre,cet endroit en pente douce vers la Seine,?,type lieu,espace de vie,neutre,pris en charge,quotidien,positif,présent,pris en charge,,
390,A tout cela sans doute.Et à une qualité inattendue :,La Défense,est dépaysante.,norme,NA,NA,NA,quotidien,positif,présent,pris en charge,,
391,La Défense est dépaysante.,Elle, donne le sentiment d'être en voyage dans un autre pays.		,,,,,,,,,,
393,Fascination.Mais dans les esprits techniques qui ont créé,le quartier,"au fil de ses quarante ans d'existence, l'espace public a longtemps été considéré comme la résultante de l'implantation des tours et du choix de mettre parkings et voiries automobiles dans les sous-sols.",type lieu,urbanisme,neutre,pris en charge,quotidien,négatif,passé,attribué,,
394,"Fascination.Mais dans les esprits techniques qui ont créé le quartier au fil de ses quarante ans d'existence,",l'espace public,a longtemps été considéré comme la résultante de l'implantation des tours et du choix de mettre parkings et voiries automobiles dans les sous-sols.,type lieu,urbanisme,neutre,pris en charge,quotidien,négatif,passé,attribué,,
395,"Mais dans les esprits techniques qui ont créé le quartier au fil de ses quarante ans d'existence, l'espace public a longtemps été considéré comme la résultante de l'implantation des tours et du choix de mettre parkings et voiries automobiles dans les sous-sols.Puisqu'il fallait quand même aménager",ce vaste endroit,", les choix des décisionnaires ont été  «partagés depuis le début entre la fascination pour le vide, la noblesse de l'esplanade et la volonté d'animer, de distraire, de décorer, d'équiper avec toutes sortes de dispositifs permanents et provisoires», résume l'ouvrage La Défense, un dictionnaire (1).                ",type lieu,taille,neutre,pris en charge,quotidien,positif,présent,cité,,
397,Distrayant pour les selfies.                Ce  «musée à ciel ouvert» était-il suffisant pour rendre ,l'espace public,plus attrayant ?,type lieu,urbanisme,neutre,pris en charge,urbanisme,neutre,passé,pris en charge,question,
399,"Plus d'innombrables animations temporaires, concerts et expositions.Et même, récemment, un marché alimentaire.",A La Défense,", ce n'est pas la place qui manque.",norme,NA,NA,NA,NA,NA,NA,NA,incompréhensible sans contexte,
402,"L'envie de sortir du bureau, et éventuellement de s'en griller une, joue peut-être.Mais les occupants",des tours," ont colonisé l'esplanade de La Défense, pas seulement les allées du centre commercial des Quatre-Temps, pourtant l'un des plus rentables de France, posé en bordure de dalle.                ",type lieu,architecture,neutre,pris en charge,quotidien,négatif,présent,pris en charge,,
403,"L'envie de sortir du bureau, et éventuellement de s'en griller une, joue peut-être.Mais les occupants des tours ont colonisé l'esplanade",de La Défense,", pas seulement les allées du centre commercial des Quatre-Temps, pourtant l'un des plus rentables de France, posé en bordure de dalle.		",norme,NA,NA,NA,quotidien,négatif,présent,pris en charge,,
405,"L'envie de sortir du bureau, et éventuellement de s'en griller une, joue peut-être.Mais les occupants des tours ont colonisé l'esplanade de La Défense, pas seulement les allées du centre commercial des Quatre-Temps, pourtant l'un des plus rentables de France, posé en bordure de",dalle,.		,type lieu,urbanisme,neutre,pris en charge,immobilier,positif,présent,pris en charge,,
406,"«Outils» inédits.  Avec Forme publique, la biennale de design de mobilier urbain organisée par Defacto, l'établissement public de gestion",du quartier,", des «outils» inédits d'occupation de cet espace public un peu particulier ont été proposés aux usagers (lire page précédente).",type lieu,urbanisme,neutre,pris en charge,immobilier,positif,présent,pris en charge,,
407,"Preuve d'un besoin, ils s'en sont emparés.		Les gestionnaires ",de La Défense,ne manquent jamais de rappeler que le quartier comprend aussi des immeubles d'habitation.,norme,NA,NA,NA,immobilier,neutre,présent,attribué,,
408,"Preuve d'un besoin, ils s'en sont emparés.		Les gestionnaires de La Défense ne manquent jamais de rappeler que ",le quartier,comprend aussi des immeubles d'habitation.,type lieu,urbanisme,neutre,pris en charge,immobilier,neutre,présent,attribué,,
409,Les gestionnaires de La Défense ne manquent jamais de rappeler que le quartier comprend aussi des immeubles d'habitation.Il y a 20 000 «vrais» habitants,à La Défense,", généralement assez conquis par ce cadre de vie atypique et à même d'apprécier leur esplanade comme d'autres aiment leur rue.		",norme,NA,NA,NA,quotidien,positif,présent,pris en charge,,
411,"Passant un jour de printemps sur l'esplanade à l'heure du déjeuner, on vit un groupe en costumes et tailleurs jouant aux boules sous les platanes de 1970.Comme on s'étonnait de ce que l'on fasse  «des pétanques",à La Défense,"», on a entendu un des joueurs rigoler en réponse :  «On fait de tout à La Défense!",norme,NA,NA,NA,événement,neutre,présent,cité,,
412,"Passant un jour de printemps sur l'esplanade à l'heure du déjeuner, on vit un groupe en costumes et tailleurs jouant aux boules sous les platanes de 1970.Comme on s'étonnait de ce que l'on fasse  «des pétanques à La Défense», on a entendu un des joueurs rigoler en réponse :  «On fait de tout à",La Défense,!,norme,NA,NA,NA,événement,neutre,présent,cité,,
413,"Des bidonvilles dans les années 1950 aux tours de verre et d'acier, Jean-Charles ­Deniau détaille la métamorphose de cette terre d'ouvriers.  Tout commence quand de Gaulle lance le chantier de la ­Défense,",gigantesque quartier d'affaires entre Nanterre et ­Puteaux,.,référence géographique/type lieu,économie/taille/localisation,positif,pris en charge,urbanisme,neutre,passé,pris en charge,,
414,» « Machine à cash »Les grands scandales du 92 sont évoqués : chaufferie,de la Défense,", vente de la tour BP, emplois fictifs de l'office départemental des HLM.",norme,NA,NA,NA,immobilier,négatif,présent,pris en charge,,
416,"MARDI,",la Défense,baignait dans un épais brouillard.,norme,NA,NA,NA,quotidien,neutre,présent,pris en charge,,
417,"MARDI,la Défense baignait dans un épais brouillard.Un « smog » à la française pour",le quartier d'affaires de Paris qui ambitionne de reprendre à Londres le titre de capitale économique et financière européenne,", on ne pouvait rêver mieux.",type lieu/référence géographique,économie/localisation,positif,pris en charge,quotidien,négatif,présent,pris en charge,,
418,"Un « smog » à la française pour le quartier d'affaires de Paris qui ambitionne de reprendre à Londres le titre de capitale économique et financière européenne, on ne pouvait rêver mieux.Pour soutenir ce		« projet capital au redressement de la France »  , Alain Juppé a passé l'après-midi au coeur de ",la « City » des Hauts-de-Seine,", accompagné du président du département Patrick Devedjian.",métaphore/référence géographique,économie/localisation,positif,pris en charge,économie,positif,présent,pris en charge,,
419,"« À l'heure où le gouvernement s'envoie des signaux contradictoires pour le monde de l'entreprise, je ne suis pas fâché de voir que ce projet a le soutien d'Alain Juppé et qu'il ne laisse pas indifférents les candidats de la primaire »  , s'est félicité Patrick Devedjian.		La visite au coeur ",de la Défense,a également une valeur symbolique.,norme,NA,NA,NA,événement,positif,présent,pris en charge,,
420,"« Pas du tout.Je fais campagne partout sans exception »  , s'est défendu le favori des sondages à l'occasion d'une promenade sur l'esplanade",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
422,"La rumeur qui évoquait la délocalisation de 900 postes de la banque américaine Citigroup de Londres à Dublin (Irlande) a été démentie et son président, Jim Cowles, ne prendra de décision qu'en mars 2017, voulant sans doute laisser monter les ­enchères entre capitales écono­miques rivales, Paris, Francfort, Dublin ou Genève et Londres.  « Nous suivons de très près la situation et nous tentons de faire valoir les qualités du site de Paris",et de la Défense,"mais la langue, la fiscalité voire la qualité de vie, de l'enseignement, des transports posent question »,  regrette Virginie Houzé, directrice de la recherche chez Jones Lang LaSalle.",norme,NA,NA,NA,quotidien,négatif,présent,cité,,
423,«,Le parc d'immeubles de bureaux franciliens,"est de très bonne qualité, trois fois moins cher que celui de Londres et di­versifié, entre le neuf, l'ancien, les petites et grandes surfaces, le ­Paris historique et le quartier ­d'affaires de la Défense,  plaide Magali Marton, directrice de recherche chez Cushman & Wakefield.",type lieu,urbanisme,neutre,pris en charge,immobilier,positif,présent,cité,,
424,"«Le parc d'immeubles de bureaux franciliens est de très bonne qualité, trois fois moins cher que celui de Londres et di­versifié, entre le neuf, l'ancien, les petites et grandes surfaces, le ­Paris historique",et le quartier ­d'affaires de la Défense,",  plaide Magali Marton, directrice de recherche chez Cushman & Wakefield.",type lieu,économie,neutre,pris en charge,immobilier,positif,présent,cité,,
425,"« Essayez les grenouilles »Le conseil général des Hauts-de-Seine a choisi le jeu de mots pour, dans une campagne de communication dévoilée lors du Salon immobilier de Londres, en octobre, vanter",son quartier d'affaires," avec le slogan  « Tired of fog, try the frogs »  : « fatigué du brouillard (londonien), essayez les grenouil­les (surnom des Français) .		",type lieu,économie,neutre,pris en charge,immobilier,neutre,présent,cité,,
426,HuguesParant cède sa place à  Jean-Claude Gaillot  à la tête,du quartier d'affaires de la Défense,.		,type lieu,économie,neutre,pris en charge,administration,neutre,présent,pris en charge,,
427,Un véritable maire bis.  La commune est riche à souhait grâce aux recettes fiscales,du quartier d'affaires de la défense qui se trouve en partie sur son territoire,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
428,"L'ordinateur Quelques jours après les attentats du 22 mars, les policiers belges découvrent un ordinateur abandonné dans une poubelle devant une des planques des terroristes, dans le quartier de Schaerbee.Dans le disque dur, ils mettent la main sur des testaments et des listes de cibles,",parmi lesquelles le quartier d'affaires de la Défense,", en France, ou l'association catholique intégriste Civitas.		",type lieu,économie,neutre,pris en charge,événement,positif,présent,pris en charge,,
431,"La filialeSpie Ile-de-France Nord-Ouest va remettre à neuf plus de 6.130 modules de traitement d'air situés dans les 160 locaux techniques des tours Alicante et Chassagne, siège de la banque",dans le quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,immobilier,neutre,futur,pris en charge,,
432,,Le quartier d'affaires de la défense (Hauts-de-Seine,) s'offre un nouveau campus étudiant dédié au numérique.,type lieu/référence géographique,économie/localisation,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
434,"Il accueillera 1.800 étudiants, et proposera 130 appartements à proximité de la nouvelle gareNanterre-Université, inaugurée fin 2015 et au coeur",d'un quartier en pleine requalification,.,type lieu,changement,positif,pris en charge,quotidien,positif,futur,pris en charge,,
435,"-La Défense.Par ailleurs, l'implantation du campus Ynov permettra de proposer une offre de formation aux métiers du numérique dans l'écosystème de",La Défense,"»,  fait valoir Icade.		",norme,NA,NA,NA,quotidien,positif,futur,cité,,
437,- l'Arena92 - tout près,du quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
440,"Mobilisation générale pour la place de Paris à quinze jours du référendum britannique.Mercredi, au siège d'Euronext",à la Défense,", l'heure était au rassemblement autour d'une question de plus en plus brûlante : comment attirer les financiers londoniens afin de devenir la grande place financière de l'Europe continentale en cas de Brexit ?",norme,NA,NA,NA,économie,neutre,futur,pris en charge,,
441,"Aux intervenants traditionnels de ces réunions (banquiers, professionnels de marchés, entrepreneurs, gérants d'actifs) se joignent pour la première fois les collectivités locales.		Plusieurs pistes Jean-Louis Missika, adjoint au maire de Paris, Patrick Devedjian, président du Conseil départemental des Hauts-de-Seine, territoire auquel appartient ",le quartier d'affaires de la Défense,", et Valérie Pécresse, présidente de la région Ile-de-France, ont pris part aux discussions sur les réformes à mener pour dérouler le tapis rouge aux financiers britanniques.",type lieu,économie,neutre,pris en charge,économie,positif,présent,pris en charge,,
442,"Par ailleurs, selon des informations de BFM-TV, mercredi 25 mai, une liste de cibles potentielles d'attentat aurait été retrouvée dans un ordinateur ayant pu appartenir à Salah Abdeslam, récupéré par les enquêteurs dans un appartement de Forest, en Belgique.Parmi les lieux visés :",le quartier d'affaires de la Défense,", la zone portuaire de Marseille, l'aéroport de Toulouse ou le Parlement européen de Strasbourg.",type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
443,"Elle a infligé une sanction record à l'office public de l'habitat de Puteaux (Hauts-de-Seine) pour « faute grave de gestion » et non-respect des règles d'attribution des logements.  Un million quatre-vingt-un mille et huit cent vingt-deux euros, c'est le montant de la sanction pécuniaire infligée par l'Agence nationale de contrôle du logement social (Ancols) à l'office de l'habitat social de Puteaux (Hauts-de-Seine), la ville la plus riche de France située aux pieds",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
444,"Mme Pécresse n'est pas la seule à trouver quelques vertus au « Brexit » : ses  « conséquences seraient négatives pour le Royaume-Uni et pour nous.Mais notre devoir est de saisir le moment  (...)  pour que Paris soit enfin la place ­financière qu'elle ambitionne d'être »  , a lancé Patrick Devedjian, président (LR) du conseil départemental des Hauts-de-Seine, lors d'un colloque organisé, le 8 juin, par Paris Europlace, le lobby de la place financière de Paris, en plein coeur",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,économie,positif,futur,cité,,
445,"MARDI,",la Défense,baignait dans un épais brouillard.,norme,NA,NA,NA,quotidien,neutre,présent,pris en charge,,
446,"MARDI,la Défense baignait dans un épais brouillard.Un « smog » à la française pour",le quartier d'affaires de Paris qui ambitionne de reprendre à Londres le titre de capitale économique et financière européenne,", on ne pouvait rêver mieux.",type lieu/référence géographique,économie/localisation,positif,pris en charge,quotidien,négatif,présent,pris en charge,,
447,"Un « smog » à la française pour le quartier d'affaires de Paris qui ambitionne de reprendre à Londres le titre de capitale économique et financière européenne, on ne pouvait rêver mieux.Pour soutenir ce		« projet capital au redressement de la France »  , Alain Juppé a passé l'après-midi au coeur de ",la « City » des Hauts-de-Seine,", accompagné du président du département Patrick Devedjian.",métaphore/référence géographique,économie/localisation,positif,pris en charge,économie,positif,présent,pris en charge,,
448,"« À l'heure où le gouvernement s'envoie des signaux contradictoires pour le monde de l'entreprise, je ne suis pas fâché de voir que ce projet a le soutien d'Alain Juppé et qu'il ne laisse pas indifférents les candidats de la primaire »  , s'est félicité Patrick Devedjian.		La visite au coeur ",de la Défense,a également une valeur symbolique.,norme,NA,NA,NA,événement,positif,présent,pris en charge,,
449,"« Pas du tout.Je fais campagne partout sans exception »  , s'est défendu le favori des sondages à l'occasion d'une promenade sur l'esplanade",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
451,"Sans compter le mégaprojet de port intérieur à Achères qui pourrait alimenter à terme toute la filière BTP de la région parisienne.La nouvelle intercommunalité pourrait enfin tirer profit de l'intégration de la ville de Bezons, véritable back-office",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
452,SÉCURITÉ  Les soupçons d'une menée terroriste visant,"le quartier d'affaires de la Défense, berceau de 1 500 sièges sociaux",", évoqué après le démantèlement de la cellule djihadiste de Bruxelles, ont fait monter la tension d'un cran.",type lieu/métaphore,économie,positif,pris en charge,événement,négatif,présent,pris en charge,,
454,"« Machine à cash » Mais les réserves foncières d'ADP seront, pour le futur acquéreur, l'un des actifs les plus faciles à transformer en « machine à cash » pour rentabiliser son investissement.Un gros quart de ces terrains à vocation immobilière sont encore vierges de toute construction : 20 hectares pour des ­activités liées aux aéroports ­(entrepôts de fret...) et 335 hectares deux fois la superficie",du quartier d'affaires de la Défense," qui n'attendent que des projets de bureaux, d'hôtels, de commerces pour transformer ces prairies à ­lapins en lucratifs placements immobiliers et rentes locatives.		",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
455,"Ils ont commencé par poster quelques photos sur Facebook et Instagram et créé une page internet.Ils ont réussi à attirer l'attention en se rendant chez des blogueuses, dans le bar-club parisien Wanderlust et dans les entreprises",du quartier d'affaires de la Défense,pour y organiser des petits déjeuners.,type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
456,"La mauvaise gestion dont font montre certains organismes HLM est régulièrement épinglée par les rapports de la Cour des comptes, mais il est rare que la sanction soit autre que symbolique.Jean-Michel Baylet, ministre de l'Aménagement du territoire, de la Ruralité et des Collectivités territoriales, Bernard Cazeneuve, ministre de l'Intérieur, et Emmanuelle Cosse, ministre du Logement et de l'Habitat durable, viennent donc de prendre une décision exceptionnelle, qui a d'ailleurs été annoncée mardi par un communiqué conjoint : ils ont suivi la proposition du contrôleur du monde HLM, l'Ancols, et ont décidé d'infliger une amende record, de 1 million d'euros, à l'Office Public de l'Habitat de la commune de Puteaux (Hauts-de-Seine), proche",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
