,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
27,"		Un jardin fleuri de bosquets, d'abris et de pelouses... à la place du bitume.Voilà l'ambition du ",quartier d'affaires de la Défense,", qui planche sur la création d'un parc de 7 hectares sur l'esplanade, au pied des tours.",type lieu,économie,neutre,pris en charge,urbanisme,positif,futur,pris en charge,,
29,"                Un jardin fleuri de bosquets, d'abris et de pelouses... à la place du bitume.Voilà l'ambition du quartier d'affaires de la Défense, qui planche sur la création d'un parc de 7 hectares sur l'esplanade, au pied ",des tours,.,type lieu,architecture,neutre,pris en charge,urbanisme,positif,futur,pris en charge,,
31,"La métamorphose se ferait de manière progressive, sur six ans.Les quelque 42.000 habitants, 45.000 étudiants et 180.000 salariés",du quartier,sont invités à donner leurs idées.,type lieu,urbanisme,neutre,pris en charge,administration,neutre,présent,pris en charge,,
33,"«Le parc doit devenir un lieu de vie, où l'on s'arrête pour se détendre, pique-niquer, jouer, faire du sport »,  indique-t-on à l'établissement public",Paris la Défense,qui gère le quartier.,référence géographique,localisation,neutre,cité,quotidien,positif,futur,cité,,
34,"«Le parc doit devenir un lieu de vie, où l'on s'arrête pour se détendre, pique-niquer, jouer, faire du sport »,  indique-t-on à l'établissement public Paris la Défense qui gère",le quartier,.,type lieu,urbanisme,neutre,pris en charge,NA,NA,NA,NA,,
35,"Des voies de circulation douce pour les piétons, les vélos, les trottinettes électriques sont aussi envisagées.		Jardins potagers Difficile pour ",le quartier d'affaires,", qui regroupe quelque 500 entreprises, de rester en dehors de la vogue de la végétalisation urbaine.",type lieu,économie,neutre,pris en charge,urbanisme,négatif,présent,pris en charge,,
36,"Jardins potagers Difficile pour le quartier d'affaires, qui regroupe quelque 500 entreprises, de rester en dehors de la vogue de la végétalisation urbaine.Malgré des efforts de verdissement,",la Défense,reste très minérale.,norme,NA,NA,NA,urbanisme,négatif,présent,pris en charge,,
39,"Le dernier en date, celui des terrasses Boieldieu, s'étend sur un millier de mètres carrés.Cette partie, la plus ancienne de",la Défense,", située côté Puteaux, a été rénovée et inaugurée l'an dernier.",norme,NA,NA,NA,urbanisme,neutre,passé,pris en charge,,
42,"Une des solutions est de réduire la place du bitume, de mettre des plantes et d'en profiter pour augmenter la perméabilité des sols.		Le verdissement de ",la Défense,concourt aussi à l'ambition du quartier d'affaires d'être un lieu de vie.,norme,NA,NA,NA,urbanisme,positif,futur,pris en charge,,
43,"Une des solutions est de réduire la place du bitume, de mettre des plantes et d'en profiter pour augmenter la perméabilité des sols.		Le verdissement de la Défense concourt aussi à l'ambition du ",quartier d'affaires,d'être un lieu de vie.,type lieu,économie,neutre,pris en charge,urbanisme,positif,futur,pris en charge,,
45,"L'Elysée et Bercy ont visiblement décidé de mettre fin à la divergence stratégique et personnelle avec le président, Jean-Pierre Clamadieu.                La fin d'une série qui aurait pu s'intituler «Règlements de compte chez Engie» se joue ce jeudi au 36e étage d'une tour située au coeur du ",quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,administration,négatif,présent,pris en charge,,
46,"en anglais -, aurait également été récupéré dans ce même ordinateur.« Dans ce dossier, il est fait référence",au quartier d'affaires de La Défense,"(Hauts-de-Seine) et à une association catholique ultra-conservatrice qui pouvaient constituer de nouvelles cibles, note un proche de l'affaire.",type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
47,"Mais il semble que ces objectifs ont été désignés avant les attentats du 13 novembre et n'étaient donc plus d'actualité.»		Abdelhamid Abaaoud, le coordonnateur des attaques parisiennes, avait lui-même confié à sa cousine Hasna Aït Boulahcen que ",La Défense,était une de ses cibles prioritaires.,norme,NA,NA,NA,événement,négatif,présent,pris en charge,,
48,"Ils réclament une vraie gare routière  Deux candidats aux municipales veulent sécuriser l'arrêt des bus des Express A 14, qui permettent de se rendre à",La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
49,"Ils risquent leur vie en traversant la route au milieu des voitures !»                De nombreux habitants des deux villes, mais aussi des communes environnantes, comme Les Alluets-le-Roi, Ecquevilly, Triel-sur-Seine ou encore Morainvilliers, utilisent les bus qui rejoignent ",le quartier d'affaires de La Défense,(Hauts-de-Seine) en moins de trente minutes.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
50,,La Défense,"		Le grimpeur Alain Robert, surnommé le Spider-Man français, a escaladé à mains nues, hier matin, la tour Total du quartier d'affaires de La Défense, avant d'être interpellé.",norme,NA,NA,NA,NA,NA,NA,NA,,
52,"La Défense		Le grimpeur Alain Robert, surnommé le Spider-Man français, a escaladé à mains nues, hier matin, la tour Total du ",quartier d'affaires de La Défense,", avant d'être interpellé.",type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
56,"                Les dix-huit tours aux lignes courbes, habillées de petites mosaïques aux tons pastel qui leur dessinent comme des nuages,d'où leurs noms de  « tours nuage »  , construites par l'architecte Emile Aillaud en 1977, sont une des composantes ",du plus grand quartier d'habitat social des Hauts-de-Seine,.,type lieu/référence géographique,taille/urbanisme/espace de vie,positif,pris en charge,urbanisme,positif,présent,pris en charge,,
57,"d'où leurs noms de  « tours nuage »  , construites par l'architecte Emile Aillaud en 1977, sont une des composantes du plus grand quartier d'habitat social des Hauts-de-Seine.Une marque emblématique de la ville, à deux pas",du quartier d'affaires historique de La Défense,.,type lieu,économie/changement,positif,pris en charge,urbanisme,positif,présent,pris en charge,,
61,"Les tours cumulent le plus haut taux de refus de la ville en termes de propositions de logements de la part des demandeurs »  , indique Patrick Jarry, maire (PCF) de Nanterre.                Investisseurs À l'heure où Nanterre se présente comme un prolongement naturel ",du quartier historique de La Défense,", avec l'aménagement futur du quartier des Groues ou les réalisations des Jardins de l'Arche, les tours Nuage se doivent de prendre un nouvel élan elles aussi.",type lieu,changement,positif,pris en charge,NA,NA,NA,NA,,
69,"Les Yvelines, c'est la prolongation des Hauts-de-Seine.La moyenne des prix est élevée pour cette raison et la proximité",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
70,"L'autre activité du groupe consiste à gérer des réseaux de chaleur et de froid pour des métropoles ou de grandes villes qui veulent « verdir » leur mix énergétique, selon Benjamin Fremaux, son directeur général.Le groupe fournit ainsi la chaleur et le froid qui alimentent les tours",du quartier d'affaires parisien de la Défense,ou les nouveaux immeubles du plateau de Saclay.,type lieu/référence géographique,économie/localisation,neutre,pris en charge,immobilier,neutre,présent,pris en charge,,
71,Principale  A,La Défense,", des locataires victimes de la roulette russe  Les habitants de 15 logements sociaux des Damiers risquent l'expulsion, pris dans un bourbier immobilier qui a démarré en 2010 avec la bénédiction de l'Etat.",norme,NA,NA,NA,immobilier,négatif,présent,pris en charge,,
73,Probablement pas.L'expulsion possible des habitants des quinze derniers appartements encore occupés aux Damiers de,La Défense,", si elle a lieu, ne mettra pas fin à la plus incroyable embrouille immobilière de cette décennie : celle des tours Hermitage.",norme,NA,NA,NA,immobilier,négatif,présent,pris en charge,,
75,"L'expulsion possible des habitants des quinze derniers appartements encore occupés aux Damiers de La Défense, si elle a lieu, ne mettra pas fin à la plus incroyable embrouille immobilière de cette décennie : celle des tours Hermitage.Deux édifices hauts comme la tour Eiffel, prévus à",La Défense,"(Hauts-de-Seine), quartier d'affaires en bordure de Seine depuis 2011, mais toujours pas financés et sans le moindre début de chantier.",norme,NA,NA,NA,urbanisme,négatif,présent,pris en charge,,
